Timestamp,Symbol,Timeframe,Side,Final_Confidence,TA_Signal,ML_Signal,ML_Confidence,ATR,Bid,Ask,Spread,Volume,SL,TP,Order,Deal,Magic
2026-05-06 17:42:40,EURUSD,M5,BUY,0.9896,BUY,BUY,0.822,0.000542,1.17565,1.17573,7.999999999985796e-05,0.01,1.17486,1.17765,4389294365,3767647137,202401
2026-05-06 18:31:40,ETHUSD,M5,BUY,0.7819,BUY,BUY,0.683,5.979306,2395.32,2396.72,1.3999999999996362,0.1,2383.96,2418.31,4389705275,3768024319,202401
2026-05-06 18:56:00,BTCUSD,M30,BUY,0.7533,BUY,BUY,0.4492,334.404559,81900.01,81914.01,14.0,0.01,81197.76,83353.62,4389932745,3768235135,202401
2026-05-06 18:56:00,ETHUSD,M30,BUY,0.8839,BUY,HOLD,0.6298,13.893606,2381.52,2382.92,1.400000000000091,0.1,2355.12,2444.95,4389932748,3768235137,202401
2026-05-07 12:14:35,USDJPY,M15,SELL,0.7547,SELL,SELL,0.4859,0.100139,156.132,156.142,0.009999999999990905,0.01,156.322,155.79,4394053894,3771842455,202401
2026-05-07 12:26:14,ETHUSD,M15,SELL,1.0,SELL,HOLD,0.8933,6.548321,2337.21,2338.61,1.400000000000091,0.1,2348.76,2312.34,4394108266,3771886800,202401
2026-05-07 12:27:14,USDJPY,M5,SELL,0.7529,SELL,SELL,0.4485,0.070514,156.287,156.297,0.009999999999990905,0.01,156.424,156.046,4394110328,3771888128,202401
2026-05-07 12:29:15,GBPUSD,M15,BUY,0.8233,BUY,BUY,0.5764,0.000667,1.36005,1.36015,9.999999999998899e-05,0.01,1.35898,1.3625,4394116113,3771892337,202401
2026-05-07 12:39:17,EURUSD,M15,BUY,0.938,BUY,BUY,0.7283,0.000673,1.17616,1.17624,7.999999999985796e-05,0.01,1.17518,1.17863,4394189917,3771960400,202401
2026-05-07 12:48:19,USDJPY,M15,SELL,0.7965,SELL,HOLD,0.471,0.122839,156.104,156.114,0.009999999999990905,0.01,156.335,155.684,4394266146,3772031595,202401
2026-05-07 14:08:27,BTCUSD,M5,BUY,0.8731,BUY,HOLD,0.6103,107.489525,81294.46,81308.46,14.0,0.01,81122.48,81686.82,4394661972,3772385257,202401
2026-05-08 08:25:38,BTCUSD,M15,SELL,0.7952,SELL,HOLD,0.4685,186.381162,79488.04,79502.04,14.0,0.01,79856.16,78815.2,4400042384,3777250689,202401
2026-05-08 08:26:39,ETHUSD,M15,SELL,0.9736,SELL,HOLD,0.7928,6.619533,2276.38,2277.78,1.400000000000091,0.1,2288.04,2251.24,4400045731,3777253430,202401
2026-05-08 14:09:29,BTCUSD,M15,SELL,0.7603,SELL,SELL,0.4051,143.253431,79850.14,79864.14,14.0,0.01,80136.32,79333.0,4401739014,3778783739,202401
2026-05-08 14:44:44,ETHUSD,M30,SELL,0.6806,SELL,SELL,0.408,8.183921,2288.28,2289.68,1.3999999999996362,0.1,2305.23,2258.74,4401894255,3778922263,202401
2026-05-08 15:00:49,GBPUSD,M30,BUY,0.8375,BUY,BUY,0.7841,0.000987,1.36166,1.36176,9.999999999998899e-05,0.01,1.36008,1.36523,4401962151,3778983065,202401
2026-05-08 16:01:01,EURUSD,M30,BUY,0.7388,BUY,BUY,0.6047,0.000613,1.17694,1.17702,7.999999999985796e-05,0.01,1.17584,1.17912,4402220764,3779215843,202401
